game_id,roster,game_type
2023020486,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;PYOTR KOCHETKOV;YANIV PERETS",home
2023020516,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;PYOTR KOCHETKOV;YANIV PERETS",home
2023020542,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;ANTTI RAANTA;PYOTR KOCHETKOV",home
2023020608,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;VASILY PONOMAREV;ANTTI RAANTA;PYOTR KOCHETKOV",home
2023020639,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;ANTTI RAANTA;PYOTR KOCHETKOV",home
2023020657,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;ANTTI RAANTA;YANIV PERETS",home
2023020675,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;ANTTI RAANTA;YANIV PERETS",home
2023020702,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;ANDREI SVECHNIKOV;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;ANTTI RAANTA;YANIV PERETS",home
2023020719,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;ANTTI RAANTA;SPENCER MARTIN",home
2023020746,"JALEN CHATFIELD;DMITRY ORLOV;BRENT BURNS;JORDAN STAAL;JACK DRURY;SEBASTIAN AHO;BRETT PESCE;STEFAN NOESEN;SETH JARVIS;BRENDAN LEMIEUX;JORDAN MARTINOOK;MICHAEL BUNTING;JESPER FAST;JACCOB SLAVIN;BRADY SKJEI;JESPERI KOTKANIEMI;TEUVO TERAVAINEN;MARTIN NECAS;ANTTI RAANTA;SPENCER MARTIN",home
