game_id,roster,game_type
2023020419,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NILS AMAN;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020439,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NILS AMAN;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020454,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020527,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PIUS SUTER;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NILS AMAN;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020543,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PIUS SUTER;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NILS AMAN;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020584,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020700,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PIUS SUTER;ELIAS PETTERSSON;QUINN HUGHES;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NILS AMAN;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020712,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PIUS SUTER;ELIAS PETTERSSON;QUINN HUGHES;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NILS AMAN;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020728,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PIUS SUTER;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NILS AMAN;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020744,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PIUS SUTER;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NILS AMAN;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020772,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PIUS SUTER;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;DAKOTA JOSHUA;IAN COLE;NILS AMAN;NIKITA ZADOROV;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",home
2023020848,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;ELIAS LINDHOLM;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;IAN COLE;NILS AMAN;NIKITA ZADOROV;CASEY DESMITH;THATCHER DEMKO",home
2023020860,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;ELIAS LINDHOLM;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;IAN COLE;NILS AMAN;NIKITA ZADOROV;CASEY DESMITH;THATCHER DEMKO",home
2023020911,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;ELIAS LINDHOLM;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;ARSHDEEP BAINS;IAN COLE;NIKITA ZADOROV;CASEY DESMITH;THATCHER DEMKO",home
2023020937,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;ELIAS LINDHOLM;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;ARSHDEEP BAINS;IAN COLE;NIKITA ZADOROV;CASEY DESMITH;THATCHER DEMKO",home
2023020951,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;ELIAS LINDHOLM;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;ARSHDEEP BAINS;IAN COLE;NIKITA ZADOROV;CASEY DESMITH;THATCHER DEMKO",home
2023021019,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;ELIAS LINDHOLM;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;ILYA MIKHEYEV;IAN COLE;NIKITA ZADOROV;VASILY PODKOLZIN;CASEY DESMITH;THATCHER DEMKO",home
2023021044,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;ELIAS LINDHOLM;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;ILYA MIKHEYEV;IAN COLE;NIKITA ZADOROV;VASILY PODKOLZIN;CASEY DESMITH;ARTURS SILOVS",home
2023021072,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;ELIAS LINDHOLM;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;IAN COLE;NIKITA ZADOROV;VASILY PODKOLZIN;CASEY DESMITH;ARTURS SILOVS",home
2023021093,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;ELIAS LINDHOLM;PIUS SUTER;ELIAS PETTERSSON;QUINN HUGHES;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;IAN COLE;NILS AMAN;NIKITA ZADOROV;VASILY PODKOLZIN;CASEY DESMITH;ARTURS SILOVS",home
2023021106,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;ELIAS LINDHOLM;PIUS SUTER;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TEDDY BLUEGER;TYLER MYERS;ILYA MIKHEYEV;NILS AMAN;NIKITA ZADOROV;VASILY PODKOLZIN;CASEY DESMITH;ARTURS SILOVS",home
2023020029,"BROCK BOESER;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;JACK STUDNICKA;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;AKITO HIROSE;QUINN HUGHES;NOAH JUULSEN;TYLER MYERS;ANTHONY BEAUVILLIER;DAKOTA JOSHUA;IAN COLE;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",away
2023020042,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;JACK STUDNICKA;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;NOAH JUULSEN;TYLER MYERS;ANTHONY BEAUVILLIER;DAKOTA JOSHUA;IAN COLE;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",away
2023020055,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;JACK STUDNICKA;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;MARK FRIEDMAN;TYLER MYERS;ANTHONY BEAUVILLIER;DAKOTA JOSHUA;IAN COLE;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",away
2023020068,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;JACK STUDNICKA;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;MARK FRIEDMAN;TYLER MYERS;ILYA MIKHEYEV;ANTHONY BEAUVILLIER;DAKOTA JOSHUA;IAN COLE;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",away
2023020095,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;MARK FRIEDMAN;TYLER MYERS;ILYA MIKHEYEV;ANTHONY BEAUVILLIER;DAKOTA JOSHUA;IAN COLE;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",away
2023020156,"BROCK BOESER;CARSON SOUCY;CONOR GARLAND;J.T. MILLER;FILIP HRONEK;SAM LAFFERTY;NILS HOGLANDER;JACK STUDNICKA;PIUS SUTER;PHILLIP DI GIUSEPPE;ELIAS PETTERSSON;QUINN HUGHES;MARK FRIEDMAN;TYLER MYERS;ILYA MIKHEYEV;ANTHONY BEAUVILLIER;IAN COLE;ANDREI KUZMENKO;CASEY DESMITH;THATCHER DEMKO",away
