game_id,roster,game_type
2023020446,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;JARET ANDERSON-DOLAN;JACOB MOVERARE;MIKEY ANDERSON;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;CARL GRUNDSTROM;PHEONIX COPLEY;CAM TALBOT",home
2023020497,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;ARTHUR KALIYEV;JACOB MOVERARE;MIKEY ANDERSON;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;CARL GRUNDSTROM;DAVID RITTICH;CAM TALBOT",home
2023020526,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;ARTHUR KALIYEV;JACOB MOVERARE;MIKEY ANDERSON;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;CARL GRUNDSTROM;DAVID RITTICH;CAM TALBOT",home
2023020541,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;ARTHUR KALIYEV;MIKEY ANDERSON;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;CARL GRUNDSTROM;DAVID RITTICH;CAM TALBOT",home
2023020563,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;ARTHUR KALIYEV;MIKEY ANDERSON;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;CARL GRUNDSTROM;DAVID RITTICH;CAM TALBOT",home
2023020585,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;JARET ANDERSON-DOLAN;MIKEY ANDERSON;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;CARL GRUNDSTROM;DAVID RITTICH;CAM TALBOT",home
2023020600,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;ARTHUR KALIYEV;MIKEY ANDERSON;BLAKE LIZOTTE;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;CARL GRUNDSTROM;DAVID RITTICH;CAM TALBOT",home
2023020699,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;JARET ANDERSON-DOLAN;ARTHUR KALIYEV;MIKEY ANDERSON;QUINTON BYFIELD;TREVOR LEWIS;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;CARL GRUNDSTROM;DAVID RITTICH;CAM TALBOT",home
2023020717,"MATT ROY;ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;JARET ANDERSON-DOLAN;MIKEY ANDERSON;QUINTON BYFIELD;TREVOR LEWIS;SAMUEL FAGEMO;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;CARL GRUNDSTROM;DAVID RITTICH;CAM TALBOT",home
2023020729,"ANDREAS ENGLUND;DREW DOUGHTY;ADRIAN KEMPE;ANZE KOPITAR;TREVOR MOORE;JORDAN SPENCE;KEVIN FIALA;PHILLIP DANAULT;JARET ANDERSON-DOLAN;MIKEY ANDERSON;QUINTON BYFIELD;TREVOR LEWIS;SAMUEL FAGEMO;ALEX LAFERRIERE;PIERRE-LUC DUBOIS;VLADISLAV GAVRIKOV;CARL GRUNDSTROM;BRANDT CLARKE;DAVID RITTICH;CAM TALBOT",home
